file_name,text
a01/a01-000u/a01-000u-00.png,A MOVE to stop Mr. Gaitskell from
a01/a01-000u/a01-000u-01.png,nominating any more Labour life Peers
a01/a01-000u/a01-000u-02.png,is to be made at a meeting of Labour
a01/a01-000u/a01-000u-03.png,Ps tomorrow . Mr. Michael Foot has
a01/a01-000u/a01-000u-04.png,put down a resolution on the subject
a01/a01-000u/a01-000u-05.png,and he is to be backed by Mr. Will
a01/a01-000u/a01-000u-06.png,P for Manchester Exchange .
a01/a01-000x/a01-000x-00.png,A MOVE to stop Mr. Gaitskell from nominating
a01/a01-000x/a01-000x-01.png,any more Labour life Peers is to be made at a
a01/a01-000x/a01-000x-02.png,Ps tomorrow . Mr. Michael
a01/a01-000x/a01-000x-03.png,Foot has put down a resolution on the subject
a01/a01-000x/a01-000x-04.png,"and he is to be backed by Mr. Will Griffiths ,"
a01/a01-000x/a01-000x-05.png,P for Manchester Exchange .
a01/a01-003/a01-003-00.png,"Though they may gather some Left-wing support , a"
a01/a01-003/a01-003-01.png,Ps are likely to
a01/a01-003/a01-003-02.png,turn down the Foot-Griffiths resolution . Mr.
a01/a01-003/a01-003-03.png,Ps
a01/a01-003/a01-003-04.png,opposed the Government Bill which brought
a01/a01-003/a01-003-05.png,"life peers into existence , they should not"
a01/a01-003/a01-003-06.png,now put forward nominees . He believes
a01/a01-003/a01-003-07.png,that the House of Lords should be abolished
a01/a01-003/a01-003-08.png,and that Labour should not take any steps
a01/a01-003/a01-003-09.png,"which would appear to "" prop up "" an out-dated"
a01/a01-003/a01-003-10.png,institution .
a01/a01-003u/a01-003u-00.png,Though they may gather some Left-wing
a01/a01-003u/a01-003u-01.png,"support , a large majority of Labour"
a01/a01-003u/a01-003u-02.png,Ps are likely to turn down the Foot-
a01/a01-003u/a01-003u-03.png,Griffiths resolution . Mr. Foot's line will
a01/a01-003u/a01-003u-04.png,Ps opposed the
a01/a01-003u/a01-003u-05.png,Government Bill which brought life peers
a01/a01-003u/a01-003u-06.png,"into existence , they should not now put"
a01/a01-003u/a01-003u-07.png,forward nominees . He believes that the
a01/a01-003u/a01-003u-08.png,House of Lords should be abolished and
a01/a01-003u/a01-003u-09.png,that Labour should not take any steps
a01/a01-003u/a01-003u-10.png,"which would appear to "" prop up "" an out-"
a01/a01-003x/a01-003x-00.png,"Though they may gather some Left-wing support , a"
a01/a01-003x/a01-003x-01.png,Ps are likely to turn
a01/a01-003x/a01-003x-02.png,down the Foot-Griffiths resolution . Mr. Foot's line
a01/a01-003x/a01-003x-03.png,Ps opposed the Govern-
a01/a01-003x/a01-003x-04.png,"ment Bill which brought life peers into existence , they"
a01/a01-003x/a01-003x-05.png,should not now put forward nominees . He believes
a01/a01-003x/a01-003x-06.png,that the House of Lords should be abolished and
a01/a01-003x/a01-003x-07.png,that Labour should not take any steps which would
a01/a01-003x/a01-003x-08.png,"appear to "" prop up "" an out-dated institution ."
a01/a01-007/a01-007-00.png,"Since 1958 , 13 Labour life Peers and"
a01/a01-007/a01-007-01.png,Peeresses have been created . Most Labour
a01/a01-007/a01-007-02.png,sentiment would # still favour the abolition
a01/a01-007/a01-007-03.png,"of the House of Lords , but while it remains"
a01/a01-007/a01-007-04.png,Labour has to have an adequate number of
a01/a01-007/a01-007-05.png,members . THE two rival African Nationalist
a01/a01-007/a01-007-06.png,Parties of Northern Rhodesia have agreed to
a01/a01-007/a01-007-07.png,get together to face the challenge from Sir
a01/a01-007/a01-007-08.png,"Roy Welensky , the Federal Premier ."
a01/a01-007u/a01-007u-00.png,"Since 1958 , 13 Labour life Peers and"
a01/a01-007u/a01-007u-01.png,Peeresses have been created . Most Labour
a01/a01-007u/a01-007u-02.png,sentiment would still favour the abolition
a01/a01-007u/a01-007u-03.png,"of the House of Lords , but while it remains"
a01/a01-007u/a01-007u-04.png,Labour has to have an adequate number
a01/a01-007u/a01-007u-05.png,of members . THE two rival African
a01/a01-007u/a01-007u-06.png,Nationalist Parties of Northern Rhodesia
a01/a01-007u/a01-007u-07.png,have agreed to get together to face
a01/a01-007u/a01-007u-08.png,"the challenge from Sir Roy Welensky ,"
